objectid,filename,youtubeid,title,creator,date,more_date_info,description,subject,location,latitude,longitude,source,identifier,type,format,physicaldescription,language,rights,rightsstatement,additionalnote,Relation,Rights,keywords,notes,collectionset,collection,private,downloadable
photo_arndtg_001,photo_arndtg_001.jpg,,"Gertrud Arndt (front) and Marianne Gugg at the weaving loom, Bauhaus Weimar","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1925,"February, 1925","Gertrud Arndt received a scholarship to attend Bauhaus where she hoped to continue her architecture, and ended up enrolling in the weaving workshop. (Photographed by Walter Hege)",Bauhaus Weimar; Weaving; Weaving--1900-1940; Weaving in art,"Bauhaus Archive/Museum of Design, Berlin, Germany",48.210033,16.363449,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.39",,,image/jpeg,"photograph, 8.3x5.5cm.",,,,,,no,weavers; loom; Bauhaus,,AHVA Painting,General Painting,yes,yes
photo_arndtg_002,photo_arndtg_002.jpg,,"Gertrud Arndt (behind) and Marianne Gugg at the weaving loom, Bauhaus Weimar","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1925,"February, 1925","Gertrud Arndt received a scholarship to attend Bauhaus where she hoped to continue her architecture, and ended up enrolling in the weaving workshop. (Photographed by Walter Hege)",Bauhaus Weimar; Weaving; Weaving--1900-1940; Weaving in art,"Bauhaus Archive/Museum of Design, Berlin, Germany",40.416775,-3.70379,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.40",,,image/jpeg,"photograph, 7.9x5.3cm.",,,,,,no,weavers; loom; Bauhaus,,AHVA Painting,General Painting,yes,yes
photo_arndtg_003,photo_arndtg_003.jpg,,"Gertrud Arndt (right centre) and other students at the weaver's loom, Bauhaus Dessau","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1927,1927,"Gertrud Arndt received a scholarship to attend Bauhaus where she hoped to continue her architecture, and ended up enrolling in the weaving workshop. (Photographed by Walter Hege)",Bauhaus Weimar; Weaving; Weaving--1900-1940; Weaving in art,"Bauhaus-Archive/Museum of Design, Berlin, Germany",40.416775,-3.70379,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.42",,,image/jpeg,"photograph, 6.4x8.6cm.",,,,,,no,weavers; loom; Bauhaus,,AHVA Painting,General Painting,yes,yes
photo_arndtg_004,photo_arndtg_004.jpg,,"Gertrud Arndt (front) and other studentes at the weavers loom, Bauhaus Dessau","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1927,1927,"Gertrud Arndt received a scholarship to attend Bauhaus where she hoped to continue her architecture, and ended up enrolling in the weaving workshop. (Photographed by Walter Hege)",Bauhaus Weimar; Weaving; Weaving--1900-1940; Weaving in art,"Bauhaus-Archive/Museum of Design, Berlin, Germany",40.416775,-3.70379,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.41",,,image/jpeg,"photograph, 6.4x8.6cm.",,,,,,no,weaving loom; weavers; Bauhaus,,AHVA Painting,General Painting,yes,yes
photo_arndtg_005,photo_arndtg_005.jpg,,"From colour course with Paul Klee, study 4","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1923-1924,1923-24,Elaborations from the colour course of Paul Klee that Arndt attended. Arndt was influenced by Paul Klee's geometric designs and incorporated that into her weaving.,"Bauhaus; Klee, Paul, 1879-1940--Influence","Bauhaus-Archive/Museum of Design, Berlin, Germany",40.416775,-3.70379,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.23",,,image/jpeg,"collage with ink, wc over pencil, 33x22cm.",,,,,,no,watercolour; Bauhaus; Paul Klee; oblong; triangle,,AHVA Painting,General Painting,yes,yes
photo_arndtg_006,photo_arndtg_006.jpg,,"From colour course with Paul Klee, study 5","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1923-1924,1923-24,Elaborations from the colour course of Paul Klee that Arndt attended. Arndt was influenced by Paul Klee's geometric designs and incorporated that into her weaving.,"Bauhaus; Klee, Paul, 1879-1940--Influence","Bauhaus-Archive/Museum of Design, Berlin, Germany",40.416775,-3.70379,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.24",,,image/jpeg,"collage with ink, wc over pencil, 33x22cm.",,,,,,no,watercolour; Bauhaus; Paul Klee; geometric; circles,,AHVA Painting,General Painting,yes,yes
photo_arndtg_007,photo_arndtg_007.jpg,,"From colour course with Paul Klee, study 6","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1923-1924,1923-24,Elaborations from the colour course of Paul Klee that Arndt attended. Arndt was influenced by Paul Klee's geometric designs and incorporated that into her weaving.,"Bauhaus; Klee, Paul, 1879-1940--Influence","Bauhaus-Archive/Museum of Design, Berlin, Germany",40.416775,-3.70379,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.25",,,image/jpeg,"collage with ink, wc over pencil, 33x22cm.",,,,,,no,circle; square; triangle; Paul Klee,,AHVA Painting,General Painting,yes,yes
photo_arndtg_008,photo_arndtg_008.jpg,,"From colour course with Paul Klee, study 7","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1923-1924,1923-24,Elaborations from the colour course of Paul Klee that Arndt attended. Arndt was influenced by Paul Klee's geometric designs and incorporated that into her weaving.,"Bauhaus; Klee, Paul, 1879-1940--Influence","Bauhaus-Archive/Museum of Design, Berlin, Germany",19.20216,-99.56176,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.26",,,image/jpeg,"collage with ink, wc over pencil, 33x22cm.",,,,,,no,triangle; circle; geometric; Paul Klee,,AHVA Painting,General Painting,yes,yes
photo_arndtg_009,photo_arndtg_009.jpg,,"From colour course with Paul Klee, study 3","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1923-1924,1923-24,Elaborations from the colour course of Paul Klee that Arndt attended. Arndt was influenced by Paul Klee's geometric designs and incorporated that into her weaving.,"Bauhaus; Klee, Paul, 1879-1940--Influence","Bauhaus-Archive/Museum of Design, Berlin, Germany",-12.04318,-77.02824,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.27",,,image/jpeg,"collage with ink, wc over pencil, 33x22cm.",,,,,,no,circles; squares; Paul Klee,,AHVA Painting,General Painting,yes,yes
photo_arndtg_010,photo_arndtg_010.jpg,,"Self portrait in Spiegel, Bauhaus Dessau","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1927,1927,Gertrud Arndt's small reflection is in the mirror. (Contemporary enlargement),Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",-12.04318,-77.02824,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.113",,,image/jpeg,"silver gelatin print, 5.9x8.3cm.",,,,,,no,sink; towel; mirror; door; cupboards,,AHVA Painting,General Painting,yes,yes
