objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,physicaldescription,language,rights,rightsstatement,additionalnote,,,Coverage,,,,Relation,,Rights,,keywords,notes,collectionset,collection,private,downloadable
3flemish_vorstermanl_eh_001,3flemish_vorstermanl_eh_001.jpg,,Ecce Homo,"Vorsterman the Younger, Lucas (Flemish engraver and draughtsman, 1624-1666).  After Dyck, Anthony van (Flemish painter, 1599-1641",1601-1699,"""In the hands of the printmaker, Lucas Vorsterman the Younger, Anthony van Dyck's beautiful and unblemished Christ is transformed into a tortured figure whose body is barely visible beneath thescratches and beatings he has suffered.""  (Bray: The Sacred Made Real: Spanish painting and sculpture, 1600-1700, p.140)",Man of Sorrows (Art); Passion of Christ; Ecce Homo,Vienna: Kupferstichkabinett der Akademie der bildenden Kunste,48.210033,16.363449,"Bray:  The Sacred Made Real: Spanish painting and sculpture, 1600-1700, p.140",,,image/jpeg,engraving; 28.8x20.9cm.,,,,Christ as the Man of Sorrows,,,Baroque,,,,,,no,,Christ; Man of Sorrows; Ecce Homo,,AHVA Painting,General Painting,yes,yes
2sp_menapd_cms_001a,2sp_menapd_cms_001a.jpg,,Christ as the Man of Sorrows,"Mena, Pedro de (Spanish sculptor, 1628-1688)",1673,"This sculpture, intended to be seen from close up, was painted with exceptional skill. Blue paint under the pinkish flesh tones suggests the bruising of Christ's skin. The rivulets of blood that trickle down his body are soaked up by the loincloth around his waist. Mena inserted glass eyes into the sockets and used real hair for the eyelashes. The sculpture was made for the illegitimate son of Philip IV, Don Juan of Austria, for his private devotion. The brutal realism would have reminded him that contemplation of suffering was a pathway to true faith and understanding.  (https://www.nga.gov/features/slideshows/the-sacred-made-real.html#slide_19)",Man of Sorrows (Art); Passion of Christ; Ecce Homo,Madrid: Real Monasterio de las Descalzas Reales,40.416775,-3.70379,"Bray:  The Sacred Made Real: Spanish painting and sculpture, 1600-1700, pl.20",,,image/jpeg,"polychromed wood, human hair, ivory and glass; 98x50x410cm.",,,,det: frontal view,,,Realism,,,,,,no,,Christ; Man of Sorrows; crown of thorns; blood; rope; beard; Ecce Homo,,AHVA Painting,General Painting,yes,yes
2sp_menapd_cms_001b,2sp_menapd_cms_001b.jpg,,Christ as the Man of Sorrows,"Mena, Pedro de (Spanish sculptor, 1628-1688)",1673,"The pose of Christ is not unlike that of the figure of Christ (Ecce Homo) by Lucas Vorsterman the younger, whose bound hands are held out elegantly before him as he turns his head to the right in th esculpture Christ confronts us directly with the horror of the story. (Real: Spanish painting and sculpture, 1600-1700, p.140)",Man of Sorrows (Art); Passion of Christ; Ecce Homo,Madrid: Real Monasterio de las Descalzas Reales,40.416775,-3.70379,"Bray:  The Sacred Made Real: Spanish painting and sculpture, 1600-1700, f.101",,,image/jpeg,"polychromed wood, human hair, ivory and glass; 98x50x410cm.",,,,det: side view,,,Realism,,,,,,no,,Christ; Man of Sorrows; crown of thorns; blood; beard; rope; Ecce Homo,,AHVA Painting,General Painting,yes,yes
2sp_menapd_cms_001c,2sp_menapd_cms_001c.jpg,,Christ as the Man of Sorrows,"Mena, Pedro de (Spanish sculptor, 1628-1688)",1673,"The pose of Christ is not unlike that of the figure of Christ (Ecce Homo) by Lucas Vorsterman the younger, whose bound hands are held out elegantly before him as he turns his head to the right in th esculpture Christ confronts us directly with the horror of the story. (Real: Spanish painting and sculpture, 1600-1700, p.140)",Man of Sorrows (Art); Passion of Christ; Ecce Homo,Madrid: Real Monasterio de las Descalzas Reales,40.416775,-3.70379,"Bray:  The Sacred Made Real: Spanish painting and sculpture, 1600-1700, f.102",,,image/jpeg,"polychromed wood, human hair, ivory and glass; 98x50x410cm.",,,,det: closeup of head and shoulders,,,Realism,,,,,,no,,Christ; Man of Sorrows; crown of thorns; blood; beard; rope; Ecce Homo,,AHVA Painting,General Painting,yes,yes
2sp_menapd_mmmc_001a,2sp_menapd_mmmc_001a.jpg,,Mary Magdalene meditating on the Crucifixion,"Mena, Pedro de (Spanish sculptor, 1628-1688)",1664,"This sculpture, which is slightly larger than life, was made in 1664 for the Jesuit House (Casa Profesa) in Madrid and is one of Mena's masterpieces.  The Magdalen is shown as if in a moment of intense prayer before the crucifix she is holding. ","Mary Magdalene; Passion of Christ; Mary Magdalene, Saint--Art",Madrid: Museo Nacional del Prado ,40.416775,-3.70379,"Bray:  The Sacred Made Real: Spanish painting and sculpture, 1600-1700, pl.23",,,image/jpeg,polychromed cedar and glass; 171x52x61cm.,,,,left side of figure,,,Realism,,,,,,no,,Mary Magdalene; sorrow; crucifix; pensive,,AHVA Painting,General Painting,yes,yes
2sp_menapd_mmmc_001b,2sp_menapd_mmmc_001b.jpg,,Mary Magdalene meditating on the Crucifixion,"Mena, Pedro de (Spanish sculptor, 1628-1688)",1664,"This sculpture, which is slightly larger than life, was made in 1664 for the Jesuit House (Casa Profesa) in Madrid and is one of Mena's masterpieces.  The Magdalen is shown as if in a moment of intense prayer before the crucifix she is holding. ","Mary Magdalene; Passion of Christ; Mary Magdalene, Saint--Art",Madrid: Museo Nacional del Prado ,40.416775,-3.70379,"Bray:  The Sacred Made Real: Spanish painting and sculpture, 1600-1700, pl.24",,,image/jpeg,polychromed cedar and glass; 171x52x61cm.,,,,det: Mary's right hand on her chest,,,Realism,,,,,,no,,Mary Magdalene; sorrow; crucifix; pensive,,AHVA Painting,General Painting,yes,yes
2sp_menapd_mmmc_001c,2sp_menapd_mmmc_001c.jpg,,Mary Magdalene meditating on the Crucifixion,"Mena, Pedro de (Spanish sculptor, 1628-1688)",1664,"This sculpture, which is slightly larger than life, was made in 1664 for the Jesuit House (Casa Profesa) in Madrid and is one of Mena's masterpieces.  The Magdalen is shown as if in a moment of intense prayer before the crucifix she is holding. ","Mary Magdalene; Passion of Christ; Mary Magdalene, Saint--Art",Madrid: Museo Nacional del Prado ,40.416775,-3.70379,"Bray:  The Sacred Made Real: Spanish painting and sculpture, 1600-1700, pl.25",,,image/jpeg,polychromed cedar and glass; 171x52x61cm.,,,,det: closeup of Mary holding the crucifix,,,Realism,,,,,,no,,Mary Magdalene; sorrow; crucifix; pensive,,AHVA Painting,General Painting,yes,yes
3sp_17c_fpgt_001,3sp_17c_fpgt_001.jpg,,Fray Pedro de Gante as Teacher of the Indians,"Anonymous (Spanish painter,17c)",1601-1699,,"Painting, Spanish--17th century; Catholic church--Missions; Catholic church, Spanish",Chapultepec: Mus. Nacional de Nistoria-Castillo,19.20216,-99.56176,"Kasl:  Sacred Spain: Art and Belief in the Spanish world, p.143",,,image/jpeg,oil/canvas; 265x230cm.,,,,,,,,,,,,,no,,Catholic brother; teacher; Indians; Fray Pedro de Gante,,AHVA Painting,General Painting,yes,yes
3sp_17c_cc_001,3sp_17c_cc_001.jpg,,The Confession of a Curaca,"Anonymous  (Spanish artist, 17c)",1612-1620,"The subject of the engraving has inspired different and even contradictory interpretations.  The kneeling posture and shaved head of the man to the left of the sitting priest are signs of atonement, however, they are clearly displaying a subordinate attitude.  He is still wearing clothing from the pre-Hispanic period, an uncie, or shirt, adorned with a band of tocapus or geometric design - indicative of his 'pagan' origin.  (Kasl: Sacred Spain: Art and Belief in the Spanish world, p.312) ","Painting, Spanish--17th century; Catholic church--Missions; Christian converts",Lima: Barbosa-Stern collection,-12.04318,-77.02824,"Kasl: Sacred Spain: Art and Belief in the Spanish world, p.314",,,image/jpeg,painting,,,,,,,,,,,,,no,,"seated cleric; Jesuit; uncu; tocapus, geometric design; pagan; kneeling, atonement",,AHVA Painting,General Painting,yes,yes
3sp_bejaranof_vrdf_001,3sp_bejaranof_vrdf_001.jpg,,Virgin of the Rosary with Saint Dominic and Saint Francis,"Bejarano, Francisco (Spanish painter, active 1599-1643)",1625-1640,"Virgin of the Rosary appears with Saint Dominic and Saint Francis.  Its markedly Italianizing style reflects the impact, beginning in 1575 of masters such as the Jesuit Bernardo Bitti on the nascent schools of painting in Lima as well as in the Andean provinces, an influence that lasted well into the following century.","Painting, Spanish--17th century; Saints in art; ",Lima: Barbosa-Stern collection,-12.04318,-77.02824,"Kasl:  Sacred Spain: Art and Belief in the Spanish world, p.315.",,,image/jpeg,oil/engraved copperplate; 47x31cm.,,,,,,,,,,,,,no,,Virgin Mary; angels; Christ child; Saint Dominic; Saint Francis; crown; heavens,,AHVA Painting,General Painting,yes,yes
